NIT,SXT,CIP,LVX,iat_prop,broad_prop
0.015,0.2,0.3,0.3,0.10643364323337734,0.3010904085227741
0.015,0.2,0.4,0.4,0.09768747072820083,0.4177000405990937
0.015,0.2,0.5,0.5,0.09065779675383047,0.5085563761710725
0.015,0.2,0.6,0.6,0.08656580303965597,0.5777687814647231
0.015,0.2,0.7,0.7,0.08358939719106961,0.6265163622219114
0.015,0.2,0.8,0.8,0.08422541233171116,0.655274423879636
0.015,0.2,0.9,0.9,0.08621031643950974,0.6660909490185294
0.015,0.3,0.001,0.001,0.13222814000167654,0.004666351546395462
0.015,0.3,0.015,0.015,0.1316796191660904,0.01544020255524386
0.015,0.3,0.1,0.1,0.12954302127635073,0.04957167007815412
0.015,0.3,0.2,0.2,0.12576018694540853,0.10149873843554706
0.015,0.3,0.3,0.3,0.11833534140028867,0.2099579712495269
0.015,0.3,0.4,0.4,0.11027833675441573,0.3166324380364105
0.015,0.3,0.5,0.5,0.1037827490932427,0.3995827004055211
0.015,0.3,0.6,0.6,0.10030790743107804,0.4621100569215991
0.015,0.3,0.7,0.7,0.0975429280468826,0.5071201207730437
0.015,0.3,0.8,0.8,0.09824788754122664,0.5346715305215562
0.015,0.3,0.9,0.9,0.1002747632484626,0.5452776496984999
0.015,0.4,0.001,0.001,0.13820556684186136,0.0028526791233574053
0.015,0.4,0.015,0.015,0.13798030649516513,0.00859005973728783
0.015,0.4,0.1,0.1,0.13689901266911148,0.02628600032468931
0.015,0.4,0.2,0.2,0.13495753193749335,0.05537819507002408
0.015,0.4,0.3,0.3,0.12860265272935084,0.14800858998008004
0.015,0.4,0.4,0.4,0.12147388893480855,0.2418145928728557
0.015,0.4,0.5,0.5,0.1153572216143662,0.3142778634801061
0.015,0.4,0.6,0.6,0.11248950790312273,0.3646250237624861
0.015,0.4,0.7,0.7,0.11007423882002593,0.4031812245116332
0.015,0.4,0.8,0.8,0.11089190546162432,0.4287366955966659
0.015,0.4,0.9,0.9,0.11287599935032258,0.4387660411741039
0.015,0.5,0.001,0.001,0.1456903647254863,0.0017285325433802985
0.015,0.5,0.015,0.015,0.145592118683947,0.005129939687609306
0.015,0.5,0.1,0.1,0.1449314125584962,0.015314035062833256
0.015,0.5,0.2,0.2,0.14369248758901726,0.034399439681303365
0.015,0.5,0.3,0.3,0.1390516562134732,0.10119888776781938
0.015,0.5,0.4,0.4,0.13335777520611658,0.1748182793202521
0.015,0.5,0.5,0.5,0.12856413210322273,0.2319884824743463
0.015,0.5,0.6,0.6,0.12660968439891254,0.2700700366915584
0.015,0.5,0.7,0.7,0.12492555720230765,0.2990038311469525
0.015,0.5,0.8,0.8,0.12577246083255453,0.3218451850448758
0.015,0.5,0.9,0.9,0.1276296548621574,0.3314659057668101
0.015,0.6,0.001,0.001,0.15394090317097886,0.0013772778844219206
0.015,0.6,0.015,0.015,0.15378622852628349,0.0035985884151297563
0.015,0.6,0.1,0.1,0.15337874476663318,0.010533285682754313
0.015,0.6,0.2,0.2,0.15278726765234854,0.02157385437479762
0.015,0.6,0.3,0.3,0.1506065940393892,0.055656278764942085
0.015,0.6,0.4,0.4,0.14682613427374966,0.10429239260664988
0.015,0.6,0.5,0.5,0.14355062612982444,0.14704984894317136
0.015,0.6,0.6,0.6,0.1418067497787929,0.1789752563537062
0.015,0.6,0.7,0.7,0.14029057010065396,0.20363468084296804
0.015,0.6,0.8,0.8,0.14103926198372854,0.22490335828887248
0.015,0.6,0.9,0.9,0.14286855300168638,0.23421472043413666
0.015,0.7,0.001,0.001,0.16388690880241116,0.0010680163594995733
0.015,0.7,0.015,0.015,0.16383094700104756,0.0023620173738013533
0.015,0.7,0.1,0.1,0.1636061669111666,0.0066226048347874855
0.015,0.7,0.2,0.2,0.16332401525893409,0.012878296943746237
0.015,0.7,0.3,0.3,0.16197430635519325,0.02927949833733105
0.015,0.7,0.4,0.4,0.15971120701155564,0.053144805895883336
0.015,0.7,0.5,0.5,0.15761476695059656,0.07862866335310982
0.015,0.7,0.6,0.6,0.1561805583415054,0.10131808899651047
0.015,0.7,0.7,0.7,0.1550018128560232,0.120582603584971
0.015,0.7,0.8,0.8,0.1555541629147707,0.13928100399010218
0.015,0.7,0.9,0.9,0.15729948469372262,0.14798935342817715
0.015,0.8,0.001,0.001,0.17325270155244582,0.0006464038014632452
0.015,0.8,0.015,0.015,0.1732105335288388,0.0012509976120721035
0.015,0.8,0.1,0.1,0.17311204232343844,0.003375809995009357
0.015,0.8,0.2,0.2,0.17301287326931195,0.00632823081157124
0.015,0.8,0.3,0.3,0.17229638306722408,0.013076047934775887
0.015,0.8,0.4,0.4,0.17132576990702308,0.023079237098641882
0.015,0.8,0.5,0.5,0.16986222059107087,0.035392654731275064
0.015,0.8,0.6,0.6,0.16883527862055894,0.04770109219141885
0.015,0.8,0.7,0.7,0.16833045530375845,0.05882314248116965
0.015,0.8,0.8,0.8,0.16866982166651506,0.07132341895837549
0.015,0.8,0.9,0.9,0.17035768549152328,0.07869888595625904
0.015,0.9,0.001,0.001,0.18176322340621331,0.0002107012467299291
0.015,0.9,0.015,0.015,0.1817491707487448,0.0004218152723398168
0.015,0.9,0.1,0.1,0.18174919041398888,0.0008580018161700361
0.015,0.9,0.2,0.2,0.18176304428972306,0.0017015730403228788
0.015,0.9,0.3,0.3,0.18160907940937945,0.0033462500329267783
0.015,0.9,0.4,0.4,0.18121568479504244,0.005426857711684447
0.015,0.9,0.5,0.5,0.18090633167311249,0.008279726673010098
0.015,0.9,0.6,0.6,0.18038538908187435,0.012090611548952836
0.015,0.9,0.7,0.7,0.1802034054715488,0.017743692562767664
0.015,0.9,0.8,0.8,0.1803446477673718,0.022507783352604626
0.015,0.9,0.9,0.9,0.1819053688444908,0.02763547358705888
0.1,0.001,0.001,0.001,0.11172914062768566,0.011111282667465982
0.1,0.001,0.015,0.015,0.1099708182041832,0.04318622585954263
0.1,0.001,0.1,0.1,0.10194192213927357,0.17950518694519274
0.1,0.001,0.2,0.2,0.09356242350826116,0.2988360968993384
0.1,0.001,0.3,0.3,0.08480303703154317,0.4281022978029355
0.1,0.001,0.4,0.4,0.07549438209120851,0.5517329989893678
0.1,0.001,0.5,0.5,0.06763376093872772,0.6470740142571796
0.1,0.001,0.6,0.6,0.06264264939206066,0.7260759158593081
0.1,0.001,0.7,0.7,0.058737917668502386,0.7832817233887688
0.1,0.001,0.8,0.8,0.05907850459468445,0.8131515173981219
0.1,0.001,0.9,0.9,0.06142867161149431,0.8247685144057353
0.1,0.015,0.001,0.001,0.11133582286640392,0.010141822272996924
0.1,0.015,0.015,0.015,0.10961980980043087,0.04135800327094462
0.1,0.015,0.1,0.1,0.10175984921020692,0.1753153827384113
0.1,0.015,0.2,0.2,0.09356347915359632,0.2925952207690631
0.1,0.015,0.3,0.3,0.08511358727393308,0.4194127293786088
0.1,0.015,0.4,0.4,0.07605752589873299,0.540635894543992
0.1,0.015,0.5,0.5,0.06842270644612009,0.6336586364404588
0.1,0.015,0.6,0.6,0.0637541171247191,0.7083854589320855
0.1,0.015,0.7,0.7,0.060257263438493774,0.761974291278729
0.1,0.015,0.8,0.8,0.060696116669520885,0.7910290924779729
0.1,0.015,0.9,0.9,0.06258257607032486,0.8019575023341876
0.1,0.1,0.001,0.001,0.11531772395637045,0.007903692523752653
0.1,0.1,0.015,0.015,0.1139809962306089,0.03318781856522676
0.1,0.1,0.1,0.1,0.1076272065391671,0.13918815427063486
0.1,0.1,0.2,0.2,0.1005675768169384,0.23887910274305674
0.1,0.1,0.3,0.3,0.09328532945529776,0.3530579458409676
0.1,0.1,0.4,0.4,0.08527078271922706,0.4638498080941889
0.1,0.1,0.5,0.5,0.07829565789310719,0.5508249402198471
0.1,0.1,0.6,0.6,0.07416359283392363,0.6192626032994236
0.1,0.1,0.7,0.7,0.07121550282078817,0.6682938415925489
0.1,0.1,0.8,0.8,0.07172448495637483,0.6962230069893962
0.1,0.1,0.9,0.9,0.07349808187468937,0.7068141802271104
0.1,0.2,0.001,0.001,0.12222464189980965,0.006087828594247416
0.1,0.2,0.015,0.015,0.12142177963958653,0.023352265185310028
0.1,0.2,0.1,0.1,0.11759863805033828,0.08293148408097825
0.1,0.2,0.2,0.2,0.1125211669679221,0.15241572696856148
0.1,0.2,0.3,0.3,0.10563279955127212,0.2578553747478832
0.1,0.2,0.4,0.4,0.09792803466691544,0.3625446675722527
0.1,0.2,0.5,0.5,0.0913185559259042,0.4459599617737681
0.1,0.2,0.6,0.6,0.08745310105205159,0.5109533950138727
0.1,0.2,0.7,0.7,0.0846036405620938,0.5577754696270374
0.1,0.2,0.8,0.8,0.08512653176154568,0.5850702425437314
0.1,0.2,0.9,0.9,0.08691434007743255,0.5955632414260783
0.1,0.3,0.001,0.001,0.12696889370367254,0.0043010440068564785
0.1,0.3,0.015,0.015,0.12650435340400915,0.013739955251563423
0.1,0.3,0.1,0.1,0.12470528351873827,0.04321734641633922
0.1,0.3,0.2,0.2,0.12132954538062315,0.08770611638088167
0.1,0.3,0.3,0.3,0.1152845918054253,0.1812638672208861
0.1,0.3,0.4,0.4,0.10817057103553053,0.27704338179115234
0.1,0.3,0.5,0.5,0.10205306140237508,0.35307278544354964
0.1,0.3,0.6,0.6,0.0988187916986912,0.4118590684939885
0.1,0.3,0.7,0.7,0.09618075767312433,0.4550556727835121
0.1,0.3,0.8,0.8,0.09675865011417607,0.4812277240593009
0.1,0.3,0.9,0.9,0.09858843002950032,0.4915103169796986
0.1,0.4,0.001,0.001,0.13232702020673445,0.002642149618569232
0.1,0.4,0.015,0.015,0.1321436595371583,0.007564995842661469
0.1,0.4,0.1,0.1,0.13120281197453276,0.02277112666118156
0.1,0.4,0.2,0.2,0.12948611756816011,0.04758932491293068
0.1,0.4,0.3,0.3,0.1243706804896553,0.12779297022025454
0.1,0.4,0.4,0.4,0.1180865486682954,0.2120272359681452
0.1,0.4,0.5,0.5,0.11230602355890024,0.2785667209034558
0.1,0.4,0.6,0.6,0.1096783281826151,0.325679120721836
0.1,0.4,0.7,0.7,0.10734772220494153,0.3626464641398645
0.1,0.4,0.8,0.8,0.10803832179324767,0.3868924605411153
0.1,0.4,0.9,0.9,0.10986737547604764,0.39664033544802063
0.1,0.5,0.001,0.001,0.13916329814112574,0.0016021490420513734
0.1,0.5,0.015,0.015,0.13907897554644502,0.0046529476206837094
0.1,0.5,0.1,0.1,0.13848863612024734,0.013459168464233156
0.1,0.5,0.2,0.2,0.13740417792256046,0.029789936446516462
0.1,0.5,0.3,0.3,0.13352450528373447,0.08869581595367326
0.1,0.5,0.4,0.4,0.12839358658172798,0.15533459147837916
0.1,0.5,0.5,0.5,0.12382399873994615,0.207679586811504
0.1,0.5,0.6,0.6,0.12205306497878525,0.2430882859448092
0.1,0.5,0.7,0.7,0.12043950844115488,0.27086936564341635
0.1,0.5,0.8,0.8,0.12117347362677595,0.2925567396481136
0.1,0.5,0.9,0.9,0.12287562745048056,0.30189598969951503
0.1,0.6,0.001,0.001,0.1466946862137369,0.0012931006763166662
0.1,0.6,0.015,0.015,0.1465679681340589,0.0032622946851449145
0.1,0.6,0.1,0.1,0.14620286696183996,0.009212389322774172
0.1,0.6,0.2,0.2,0.14565370107066522,0.018748719255184475
0.1,0.6,0.3,0.3,0.14372614064810973,0.04904936222465645
0.1,0.6,0.4,0.4,0.14031142109699973,0.0931828785218325
0.1,0.6,0.5,0.5,0.13716161334500615,0.13235437333454686
0.1,0.6,0.6,0.6,0.13560134185656447,0.16187377829936292
0.1,0.6,0.7,0.7,0.13412776691703346,0.18553470898922145
0.1,0.6,0.8,0.8,0.13476352035548236,0.20567773116965213
0.1,0.6,0.9,0.9,0.1364377711675419,0.2147076226443836
0.1,0.7,0.001,0.001,0.15545996642177368,0.0009979794228875316
0.1,0.7,0.015,0.015,0.15541794773251272,0.0021518322038281547
0.1,0.7,0.1,0.1,0.1552214139271546,0.005738003317741457
0.1,0.7,0.2,0.2,0.15495316367331866,0.011305440777743744
0.1,0.7,0.3,0.3,0.15371607372714502,0.02597836473848868
0.1,0.7,0.4,0.4,0.15155139397524492,0.047916686804117065
0.1,0.7,0.5,0.5,0.14955257520556287,0.07105285112503572
0.1,0.7,0.6,0.6,0.14833026800688276,0.09178619972366996
0.1,0.7,0.7,0.7,0.14719412726000855,0.11015042507139812
0.1,0.7,0.8,0.8,0.14763353887413033,0.1278212270673691
0.1,0.7,0.9,0.9,0.1492238204471839,0.13624810583491134
0.1,0.8,0.001,0.001,0.1638559947541065,0.0006323706833043901
0.1,0.8,0.015,0.015,0.16381382673049946,0.001166883120557521
0.1,0.8,0.1,0.1,0.1637294757965923,0.0030383676185101608
0.1,0.8,0.2,0.2,0.16364442686864786,0.005680929814315353
0.1,0.8,0.3,0.3,0.16292804594773572,0.0116836958652672
0.1,0.8,0.4,0.4,0.1620418607275703,0.020813330499125742
0.1,0.8,0.5,0.5,0.16061976909355447,0.03183410296161434
0.1,0.8,0.6,0.6,0.15980458316322374,0.04294582752190816
0.1,0.8,0.7,0.7,0.15932818823118938,0.053364838709993714
0.1,0.8,0.8,0.8,0.15963897881725975,0.065203763076815
0.1,0.8,0.9,0.9,0.1611718024363697,0.07231177285708065
0.1,0.9,0.001,0.001,0.1712826106003804,0.0002107012467299291
0.1,0.9,0.015,0.015,0.17126855794291185,0.000393709372976315
0.1,0.9,0.1,0.1,0.17126857760815592,0.0007877400352916652
0.1,0.9,0.2,0.2,0.17129651202458285,0.0015473091782594699
0.1,0.9,0.3,0.3,0.17117067661958535,0.0029951654638461717
0.1,0.9,0.4,0.4,0.17081946448118848,0.004836939696072419
0.1,0.9,0.5,0.5,0.17053794292862312,0.007296642393952412
0.1,0.9,0.6,0.6,0.17011615415476172,0.01062840836495132
0.1,0.9,0.7,0.7,0.16994845065529174,0.015803512246128068
0.1,0.9,0.8,0.8,0.17008919918272508,0.02018815982377235
0.1,0.9,0.9,0.9,0.17150905640778752,0.025090688660394867
0.2,0.001,0.001,0.001,0.11184122974493957,0.009649806873416784
0.2,0.001,0.015,0.015,0.11025044825474872,0.034668407047861845
0.2,0.001,0.1,0.1,0.1041755163276598,0.13325335371869812
0.2,0.001,0.2,0.2,0.09755482608653013,0.22381470408925427
0.2,0.001,0.3,0.3,0.08983453403669213,0.3292942769672782
0.2,0.001,0.4,0.4,0.08159539474386067,0.4353240053007679
0.2,0.001,0.5,0.5,0.07456428449552148,0.5217099971617303
0.2,0.001,0.6,0.6,0.06988254822343598,0.5952429773626736
0.2,0.001,0.7,0.7,0.06606164952834029,0.649554436379822
0.2,0.001,0.8,0.8,0.06627469428983923,0.6776953052664352
0.2,0.001,0.9,0.9,0.06845572466231095,0.6890305470843087
0.2,0.015,0.001,0.001,0.11143498305663982,0.008722168823221941
0.2,0.015,0.015,0.015,0.10984420156644902,0.033050674339668976
0.2,0.015,0.1,0.1,0.1039100237219763,0.12980805346909002
0.2,0.015,0.2,0.2,0.09745805498617988,0.2188664792524248
0.2,0.015,0.3,0.3,0.09003315316104119,0.32224984385518424
0.2,0.015,0.4,0.4,0.08203255854320665,0.4261397107263091
0.2,0.015,0.5,0.5,0.07519906018797876,0.5104181276384556
0.2,0.015,0.6,0.6,0.07072724404290046,0.5800847857898935
0.2,0.015,0.7,0.7,0.0672722636122734,0.631074042034357
0.2,0.015,0.8,0.8,0.06761145391078897,0.6584701427198997
0.2,0.015,0.9,0.9,0.06934271977935742,0.6691307404984771
0.2,0.1,0.001,0.001,0.11332104411114345,0.007018341232055613
0.2,0.1,0.015,0.015,0.11202586407183676,0.027198097804102008
0.2,0.1,0.1,0.1,0.10711959906762578,0.10626322281485312
0.2,0.1,0.2,0.2,0.1015933763084856,0.18235945476513427
0.2,0.1,0.3,0.3,0.09520984778242828,0.27581647846003826
0.2,0.1,0.4,0.4,0.08820867724593083,0.3705263984152711
0.2,0.1,0.5,0.5,0.08200677158865424,0.4493890670105351
0.2,0.1,0.6,0.6,0.07804323898543405,0.5131465790380909
0.2,0.1,0.7,0.7,0.07512322378116339,0.5598030732118127
0.2,0.1,0.8,0.8,0.07553272416592123,0.5861435336231561
0.2,0.1,0.9,0.9,0.07715112755200024,0.5964809082361474
0.2,0.2,0.001,0.001,0.11799043087934764,0.005511469908261045
0.2,0.2,0.015,0.015,0.11715930178367645,0.020035519698855458
0.2,0.2,0.1,0.1,0.11382723017344965,0.0689246618344663
0.2,0.2,0.2,0.2,0.10944011553674256,0.1247043902454642
0.2,0.2,0.3,0.3,0.10332416159631216,0.2121382979056702
0.2,0.2,0.4,0.4,0.09664688105239974,0.30122355768793785
0.2,0.2,0.5,0.5,0.0908106214802318,0.3769329816948993
0.2,0.2,0.6,0.6,0.08707144488906851,0.4375133430947469
0.2,0.2,0.7,0.7,0.0842358828541337,0.4820451905751602
0.2,0.2,0.8,0.8,0.08464541882883889,0.507765131980268
0.2,0.2,0.9,0.9,0.08627803361249027,0.518018508591734
0.2,0.3,0.001,0.001,0.12138559585025124,0.00406181010504458
